age,work_cate,fnlwgt,education,edu_nums,marital,profession,relation,race,gender,earnings,loss,hour,motherland,label
39,6,77516,2,13,1,3,1,0,0,2174,0,40,0,0
50,2,83311,2,13,0,2,0,0,0,0,0,13,0,0
38,0,215646,0,9,4,15,1,0,0,0,0,40,0,0
53,0,234721,8,7,0,15,0,2,0,0,0,40,0,0
28,0,338409,2,13,0,0,8,2,2,0,0,40,13,0
37,0,284582,6,14,0,2,8,0,2,0,0,40,0,0
49,0,160187,17,5,10,5,1,2,2,0,0,16,15,0
52,2,209642,0,9,0,2,0,0,0,0,0,45,0,1
31,0,45781,6,14,1,0,1,0,2,14084,0,50,0,1
42,0,159449,2,13,0,2,0,0,0,5178,0,40,0,1
37,0,280464,1,10,0,2,0,2,0,0,0,80,0,1
30,6,141297,2,13,0,0,0,4,0,0,0,40,11,1
23,0,122272,2,13,1,3,3,0,2,0,0,30,0,0
32,0,205019,9,12,1,4,1,2,0,0,0,50,0,0
40,0,121772,7,11,0,1,0,4,0,0,0,40,3,1
34,0,245487,13,4,0,14,0,6,0,0,0,45,2,0
25,2,176756,0,9,1,17,3,0,0,0,0,35,0,0
32,0,186824,0,9,1,9,5,0,0,0,0,40,0,0
38,0,28887,8,7,0,4,0,0,0,0,0,50,0,0
43,2,292175,6,14,4,2,5,0,2,0,0,45,0,1
40,0,193524,20,16,0,0,0,0,0,0,0,60,0,1
54,0,302146,0,9,6,5,5,2,2,0,0,20,0,0
35,10,76845,17,5,0,17,0,2,0,0,0,40,0,0
43,0,117037,8,7,0,14,0,0,0,0,2042,40,0,0
59,0,109015,0,9,4,19,5,0,2,0,0,40,0,0
56,3,216851,2,13,0,19,0,0,0,0,0,40,0,1
19,0,168294,0,9,1,1,3,0,0,0,0,40,0,0
54,4,180211,1,10,0,11,0,4,0,0,0,60,16,1
39,0,367260,0,9,4,2,1,0,0,0,0,80,0,0
49,0,193366,0,9,0,1,0,0,0,0,0,40,0,0
23,3,190709,9,12,1,22,1,0,0,0,0,52,0,0
20,0,266015,1,10,1,4,3,2,0,0,0,44,0,0
45,0,386940,2,13,4,2,3,0,0,0,1408,40,0,0
30,10,59951,1,10,0,3,3,0,0,0,0,40,0,0
22,6,311512,1,10,0,5,0,2,0,0,0,15,0,0
48,0,242406,8,7,1,9,5,0,0,0,0,40,9,0
21,0,197200,1,10,1,9,3,0,0,0,0,40,0,0
19,0,544091,0,9,12,3,8,0,2,0,0,25,0,0
31,0,84154,1,10,0,4,0,0,0,0,0,38,3,1
48,2,265477,9,12,0,0,0,0,0,0,0,40,0,0
31,0,507875,17,5,0,9,0,0,0,0,0,43,0,0
53,2,88506,2,13,0,0,0,0,0,0,0,40,0,0
24,0,172987,2,13,0,19,0,0,0,0,0,50,0,0
49,0,94638,0,9,6,3,5,0,2,0,0,40,0,0
25,0,289980,0,9,1,15,1,0,0,0,0,35,0,0
57,10,337895,2,13,0,0,0,2,0,0,0,40,0,1
53,0,144361,0,9,0,9,0,0,0,0,0,38,0,0
44,0,128354,6,14,4,2,5,0,2,0,0,40,0,0
41,6,101603,7,11,0,1,0,0,0,0,0,40,0,0
29,0,271466,7,11,1,0,1,0,0,0,0,43,0,0
25,0,32275,1,10,0,2,8,7,2,0,0,40,0,0
18,0,226956,0,9,1,5,3,0,2,0,0,30,3,0
47,0,51835,15,15,0,0,8,0,2,0,1902,60,67,1
50,10,251585,2,13,4,2,1,0,0,0,0,55,0,1
47,7,109832,0,9,4,2,1,0,0,0,0,60,0,0
43,0,237993,1,10,0,19,0,0,0,0,0,40,0,1
46,0,216666,21,3,0,9,0,0,0,0,0,40,2,0
35,0,56352,7,11,0,5,0,0,0,0,0,40,9,0
41,0,147372,0,9,0,3,0,0,0,0,0,48,0,0
30,0,188146,0,9,0,9,0,0,0,5013,0,40,0,0
30,0,59496,2,13,0,4,0,0,0,2407,0,40,0,0
32,4,293936,13,4,10,11,1,0,0,0,0,40,3,0
48,0,149640,0,9,0,14,0,0,0,0,0,40,0,0
42,0,116632,20,16,0,0,0,0,0,0,0,45,0,1
29,0,105598,1,10,4,19,1,0,0,0,0,58,0,0
36,0,155537,0,9,0,1,0,0,0,0,0,40,0,0
28,0,183175,1,10,4,3,1,0,2,0,0,40,0,0
53,0,169846,0,9,0,3,8,0,2,0,0,40,0,1
49,7,191681,1,10,0,2,0,0,0,0,0,50,0,1
25,4,200681,1,10,1,11,3,0,0,0,0,40,0,0
19,0,101509,1,10,1,0,3,0,0,0,0,32,0,0
31,0,309974,2,13,6,4,3,2,2,0,0,40,0,0
29,2,162298,2,13,0,4,0,0,0,0,0,70,0,1
23,0,211678,1,10,1,9,1,0,0,0,0,40,0,0
79,0,124744,1,10,0,0,9,0,0,0,0,20,0,0
27,0,213921,0,9,1,5,3,0,0,0,0,40,2,0
40,0,32214,9,12,0,3,0,0,0,0,0,40,0,0
67,4,212759,11,6,0,11,0,0,0,0,0,2,0,0
18,0,309634,8,7,1,5,3,0,2,0,0,22,0,0
31,3,125927,13,4,0,17,0,0,0,0,0,40,0,0
18,0,446839,0,9,1,4,1,0,0,0,0,30,0,0
52,0,276515,2,13,0,5,0,0,0,0,0,40,13,0
46,0,51618,0,9,0,5,8,0,2,0,0,40,0,0
59,0,159937,0,9,0,4,0,0,0,0,0,48,0,0
44,0,343591,0,9,4,1,1,0,2,14344,0,40,0,1
53,0,346253,0,9,4,4,3,0,2,0,0,35,0,0
49,3,268234,0,9,0,22,0,0,0,0,0,40,0,1
33,0,202051,6,14,0,0,0,0,0,0,0,50,0,0
30,0,54334,17,5,1,4,1,0,0,0,0,40,0,0
43,10,410867,20,16,1,0,1,0,2,0,0,50,0,1
57,0,249977,7,11,0,0,0,0,0,0,0,40,0,0
37,0,286730,1,10,4,1,5,0,2,0,0,40,0,0
28,0,212563,1,10,4,9,5,2,2,0,0,25,0,0
30,0,117747,0,9,0,4,8,4,2,0,1573,35,3,0
34,3,226296,2,13,0,22,0,0,0,0,0,40,0,1
29,3,115585,1,10,1,15,1,0,0,0,0,50,0,0
48,2,191277,20,16,0,0,0,0,0,0,1902,60,0,1
37,0,202683,1,10,0,4,0,0,0,0,0,48,0,1
48,0,171095,9,12,4,2,5,0,2,0,0,40,14,0
32,10,249409,0,9,1,5,3,2,0,0,0,40,0,0
76,0,124191,6,14,0,2,0,0,0,0,0,40,0,1
44,0,198282,2,13,0,2,0,0,0,15024,0,60,0,1
47,2,149116,6,14,1,0,1,0,2,0,0,50,0,0
20,0,188300,1,10,1,19,3,0,2,0,0,40,0,0
29,0,103432,0,9,1,1,1,0,0,0,0,40,0,0
32,7,317660,0,9,0,1,0,0,0,7688,0,40,0,1
17,4,304873,11,6,1,11,3,0,2,34095,0,32,0,0
30,0,194901,8,7,1,15,3,0,0,0,0,40,0,0
31,3,189265,0,9,1,3,1,0,2,0,0,40,0,0
42,0,124692,0,9,0,15,0,0,0,0,0,40,0,0
24,0,432376,2,13,1,4,9,0,0,0,0,40,0,0
38,0,65324,15,15,0,0,0,0,0,0,0,40,0,1
56,2,335605,0,9,0,5,0,0,0,0,1887,50,8,1
28,0,377869,1,10,0,4,8,0,2,4064,0,25,0,0
36,0,102864,0,9,1,9,3,0,2,0,0,40,0,0
53,0,95647,17,5,0,15,0,0,0,0,0,50,0,0
56,7,303090,1,10,0,4,0,0,0,0,0,50,0,0
49,3,197371,7,11,0,1,0,2,0,0,0,40,0,1
55,0,247552,1,10,0,4,0,0,0,0,0,56,0,0
22,0,102632,0,9,1,1,1,0,0,0,0,41,0,0
21,0,199915,1,10,1,5,3,0,2,0,0,40,0,0
40,0,118853,2,13,0,2,0,0,0,0,0,60,0,0
30,0,77143,2,13,1,2,3,2,0,0,0,40,7,0
29,6,267989,2,13,0,0,0,0,0,0,0,50,0,1
19,0,301606,1,10,1,5,3,2,0,0,0,35,0,0
47,0,287828,2,13,0,2,8,0,2,0,0,40,0,1
20,0,111697,1,10,1,3,3,0,2,0,1719,28,0,0
31,0,114937,9,12,0,3,0,0,0,0,0,40,0,1
35,4,129305,0,9,0,11,0,0,0,0,0,40,0,0
39,0,365739,1,10,4,1,1,0,0,0,0,40,0,0
28,0,69621,9,12,1,4,1,0,2,0,0,60,0,0
24,0,43323,0,9,1,5,1,0,2,0,1762,40,0,0
38,2,120985,0,9,0,1,0,0,0,4386,0,35,0,0
37,0,254202,2,13,0,4,0,0,0,0,0,50,0,0
46,0,146195,9,12,4,19,1,2,2,0,0,36,0,0
38,10,125933,6,14,0,0,0,0,0,0,0,40,33,1
43,2,56920,0,9,0,1,0,0,0,0,0,60,0,0
27,0,163127,7,11,0,3,8,0,2,0,0,35,0,0
20,0,34310,1,10,1,4,3,0,0,0,0,20,0,0
49,0,81973,1,10,0,1,0,4,0,0,0,40,0,1
61,7,66614,0,9,0,1,0,0,0,0,0,40,0,0
27,0,232782,1,10,1,4,3,0,2,0,0,40,0,0
19,0,316868,1,10,1,5,3,0,0,0,0,30,2,0
45,0,196584,7,11,1,0,1,0,2,0,1564,40,0,1
70,0,105376,1,10,1,19,9,0,0,0,0,40,0,0
31,0,185814,0,9,1,14,5,2,2,0,0,30,0,0
22,0,175374,1,10,0,5,0,0,0,0,0,24,0,0
36,0,108293,0,9,7,5,5,0,2,0,0,24,0,0
64,0,181232,8,7,0,1,0,0,0,0,2179,40,0,0
43,4,174662,1,10,4,11,1,0,2,0,0,40,0,0
47,3,186009,1,10,4,3,5,0,2,0,0,38,2,0
34,0,198183,0,9,1,3,1,0,2,0,0,40,0,0
33,0,163003,2,13,1,2,9,4,2,0,0,40,6,0
21,0,296158,0,9,1,1,3,0,0,0,0,35,0,0
52,4,252903,0,9,4,11,1,0,0,0,0,45,0,1
48,0,187715,0,9,0,1,0,0,0,0,0,46,0,0
23,0,214542,2,13,1,15,1,0,0,0,0,40,0,0
71,2,494223,1,10,6,4,5,2,0,0,1816,2,0,0
29,0,191535,0,9,4,1,1,0,0,0,0,60,0,0
42,0,228456,2,13,6,5,9,2,0,0,0,50,0,0
68,4,38317,28,2,4,11,1,0,2,0,0,20,0,0
25,0,252752,0,9,1,5,5,0,2,0,0,40,0,0
44,7,78374,6,14,4,2,5,4,2,0,0,40,0,0
28,0,88419,0,9,1,2,1,4,2,0,0,40,14,0
45,2,201080,6,14,0,4,0,0,0,0,0,40,0,1
36,0,207157,1,10,4,5,5,0,2,0,0,40,2,0
39,10,235485,9,12,1,2,1,0,0,0,0,42,0,0
46,6,102628,6,14,7,22,5,0,0,0,0,40,0,0
18,0,25828,8,7,1,15,3,0,0,0,0,16,0,0
66,3,54826,7,11,7,0,1,0,2,0,0,20,0,0
27,0,124953,0,9,1,5,1,0,0,0,1980,40,0,0
28,6,175325,0,9,0,22,0,0,0,0,0,40,0,0
51,0,96062,1,10,0,4,0,0,0,0,1977,40,0,1
27,0,428030,2,13,1,1,1,0,0,0,0,50,0,0
28,6,149624,2,13,0,0,0,0,0,0,0,40,0,1
27,0,253814,0,9,10,4,5,0,2,0,0,25,0,0
21,0,312956,0,9,1,1,3,2,0,0,0,40,0,0
34,0,483777,0,9,1,15,1,2,0,0,0,40,0,0
18,0,183930,0,9,1,5,3,0,0,0,0,12,0,0
33,0,37274,2,13,0,0,0,0,0,0,0,65,0,0
44,3,181344,1,10,0,2,0,2,0,0,0,38,0,1
43,0,114580,1,10,4,3,1,0,2,0,0,40,0,0
30,0,633742,1,10,1,1,1,2,0,0,0,45,0,0
40,0,286370,13,4,0,9,0,0,0,0,0,40,2,1
37,10,29054,1,10,0,3,0,0,0,0,0,42,0,1
34,0,304030,0,9,0,3,0,2,0,0,0,40,0,0
41,2,143129,2,13,4,2,1,0,2,0,0,40,0,0
53,4,135105,2,13,4,11,1,0,2,0,0,50,0,0
31,0,99928,6,14,0,0,8,0,2,0,0,50,0,0
58,6,109567,20,16,0,0,0,0,0,0,0,1,0,1
38,0,155222,1,10,4,9,1,2,2,0,0,28,0,0
24,0,159567,1,10,0,9,0,0,0,0,0,40,0,0
41,3,523910,2,13,0,1,0,2,0,0,0,40,0,0
47,0,120939,1,10,0,19,0,0,0,0,0,45,0,0
41,10,130760,2,13,0,19,0,0,0,0,0,24,0,0
23,0,197387,21,3,0,14,9,0,0,0,0,40,2,0
36,0,99374,1,10,4,1,1,0,0,0,0,40,0,0
40,10,56795,6,14,1,2,1,0,2,14084,0,55,0,1
35,0,138992,6,14,0,0,9,0,0,7298,0,40,0,1
24,2,32921,0,9,1,4,1,0,0,0,0,40,0,0
26,0,397317,6,14,1,0,1,0,2,0,1876,40,0,0
19,4,170653,0,9,1,11,3,0,0,0,0,40,18,0
51,0,259323,2,13,0,2,0,0,0,0,0,50,0,1
42,3,254817,1,10,1,0,1,0,2,0,1340,40,0,0
37,6,48211,0,9,4,3,5,0,2,0,0,35,0,0
18,0,140164,8,7,1,4,3,0,2,0,0,40,0,0
36,0,128757,2,13,0,5,0,2,0,7298,0,36,0,1
35,0,36270,0,9,4,1,1,0,0,0,0,60,0,0
58,7,210563,0,9,0,4,8,0,2,15024,0,35,0,1
17,0,65368,8,7,1,4,3,0,2,0,0,12,0,0
44,3,160943,0,9,0,14,0,2,0,0,0,40,0,0
37,0,208358,0,9,0,1,0,0,0,0,0,40,0,1
35,0,153790,1,10,1,4,1,6,2,0,0,40,0,0
60,0,85815,0,9,0,1,0,4,0,0,0,40,0,0
54,7,125417,13,4,0,9,0,0,0,0,0,40,0,1
37,0,635913,2,13,1,2,1,2,0,0,0,60,0,1
50,0,313321,9,12,4,4,1,0,2,0,0,40,0,0
38,0,182609,2,13,0,4,0,0,0,0,0,50,26,0
45,0,109434,2,13,0,0,0,0,0,0,0,55,0,0
25,0,255004,11,6,1,1,1,0,0,0,0,40,0,0
31,0,197860,1,10,0,15,0,0,0,0,0,40,0,0
64,4,187656,28,2,4,11,1,0,0,0,0,40,0,0
90,0,51744,0,9,1,5,1,2,0,0,2206,40,0,0
54,0,176681,0,9,0,3,0,2,0,0,0,20,0,0
53,3,140359,30,1,1,9,1,0,2,0,0,35,0,0
18,0,243313,0,9,1,4,3,0,2,0,0,40,0,0
60,4,24215,11,6,4,11,1,6,2,0,0,10,0,0
66,2,167687,0,9,0,17,0,0,0,1409,0,50,0,0
75,0,314209,7,11,7,3,1,0,2,0,0,20,27,0
65,0,176796,0,9,4,3,1,0,2,0,0,40,0,0
35,0,538583,8,7,6,14,1,2,0,3674,0,40,0,0
41,0,130408,0,9,4,4,5,2,2,0,0,38,0,0
25,0,159732,1,10,1,3,1,0,0,0,0,42,0,0
33,0,110978,1,10,4,1,9,7,2,0,0,40,0,0
28,0,76714,15,15,1,0,1,0,0,0,0,55,0,1
59,6,268700,0,9,0,5,0,0,0,0,0,40,0,0
40,6,170525,1,10,1,3,1,0,2,0,0,38,0,0
41,0,180138,2,13,0,2,0,0,0,0,0,50,33,1
38,3,115076,6,14,0,2,0,0,0,0,0,70,0,1
23,0,115458,0,9,1,14,3,0,0,0,0,40,0,0
40,0,347890,2,13,0,0,0,0,0,0,0,40,0,1
41,2,196001,0,9,0,5,8,0,2,0,0,20,0,0
24,6,273905,9,12,0,22,0,0,0,0,0,50,0,0
20,4,119156,1,10,1,11,3,0,0,0,0,20,0,0
38,0,179488,1,10,4,1,1,0,0,0,1741,40,0,0
56,0,203580,0,9,0,3,0,0,0,0,0,35,3,0
58,0,236596,0,9,0,3,0,0,0,0,0,45,0,1
32,0,183916,0,9,1,5,1,0,2,0,0,34,0,0
40,0,207578,9,12,0,19,0,0,0,0,1977,60,0,1
45,0,153141,0,9,0,3,0,0,0,0,0,40,3,0
41,0,112763,15,15,0,0,8,0,2,0,0,40,0,1
42,0,390781,2,13,0,3,8,2,2,0,0,40,0,0
59,3,171328,11,6,7,5,5,2,2,0,0,30,0,0
19,3,27382,1,10,1,3,3,0,0,0,0,40,0,0
58,0,259014,1,10,1,14,1,0,0,0,0,20,0,0
42,2,303044,0,9,0,17,0,4,0,0,0,40,55,1
20,0,117789,0,9,1,5,3,0,2,0,0,40,0,0
32,0,172579,0,9,6,5,1,0,2,0,0,30,0,0
45,0,187666,7,11,7,2,1,0,2,0,0,45,0,0
50,0,204518,13,4,4,1,1,0,0,0,0,40,0,0
36,0,150042,2,13,4,0,3,0,2,0,0,40,0,0
45,0,98092,0,9,0,4,0,0,0,0,0,60,0,0
17,0,245918,8,7,1,5,3,0,0,0,0,12,0,0
59,0,146013,1,10,0,4,0,0,0,4064,0,40,0,0
26,0,378322,8,7,0,1,0,0,0,0,0,40,0,0
37,7,257295,1,10,0,2,0,4,0,0,0,75,58,1
19,4,218956,1,10,1,11,3,0,0,0,0,24,8,0
64,0,21174,0,9,0,2,0,0,0,0,0,40,0,1
33,0,185480,2,13,1,0,1,0,2,0,0,45,0,0
33,0,222205,0,9,0,1,8,0,2,0,0,40,0,1
61,0,69867,0,9,0,2,0,0,0,0,0,40,0,1
17,0,191260,17,5,1,5,3,0,0,1055,0,24,0,0
50,2,30653,6,14,0,17,0,0,0,2407,0,98,0,0
27,3,209109,6,14,1,0,3,0,0,0,0,35,0,0
30,0,70377,0,9,4,0,3,0,2,0,0,40,0,0
43,0,477983,0,9,0,15,0,2,0,0,0,40,0,0
44,0,170924,1,10,0,1,0,0,0,7298,0,40,0,1
35,0,190174,1,10,1,2,1,0,2,0,0,40,0,0
25,0,193787,1,10,1,19,3,0,2,0,0,40,0,0
24,0,279472,1,10,0,9,8,0,2,7298,0,48,0,1
22,0,34918,2,13,1,0,1,0,2,0,0,15,7,0
42,3,97688,1,10,0,1,0,0,0,5178,0,40,0,1
34,0,175413,9,12,4,4,5,2,2,0,0,45,0,0
60,0,173960,2,13,4,0,1,0,2,0,0,42,0,0
21,0,205759,0,9,1,15,3,0,0,0,0,40,0,0
57,10,425161,6,14,0,4,0,0,0,15024,0,40,0,1
41,0,220531,15,15,0,0,0,0,0,0,0,60,0,1
50,0,176609,1,10,4,5,1,0,0,0,0,45,0,0
25,0,371987,2,13,1,2,1,0,2,0,0,40,0,0
50,0,193884,13,4,0,1,0,0,0,0,0,40,47,0
36,0,200352,2,13,0,0,0,0,0,0,0,45,0,0
31,0,127595,0,9,4,0,1,0,2,0,0,40,0,0
29,3,220419,2,13,1,22,1,0,0,0,0,56,0,0
21,0,231931,1,10,1,4,3,0,0,0,0,45,0,0
27,0,248402,2,13,1,19,5,2,2,0,0,40,0,0
65,0,111095,0,9,0,14,0,0,0,0,0,16,0,0
37,7,57424,2,13,4,4,1,0,2,0,0,60,0,0
39,4,157443,6,14,0,11,8,4,2,3464,0,40,3,0
24,0,278130,0,9,1,1,3,0,0,0,0,40,0,0
38,0,169469,0,9,4,4,1,0,0,0,0,80,0,0
48,0,146268,2,13,0,3,0,0,0,7688,0,40,0,1
21,0,153718,1,10,1,5,1,4,2,0,0,25,0,0
31,0,217460,0,9,0,14,0,0,0,0,0,45,0,1
55,0,238638,0,9,0,4,0,0,0,4386,0,40,0,1
24,0,303296,1,10,0,3,8,4,2,0,0,40,59,0
43,0,173321,0,9,4,3,1,0,2,0,0,40,0,0
26,0,193945,9,12,1,19,1,0,0,0,0,45,0,0
46,0,83082,9,12,1,0,1,0,2,0,0,33,0,0
35,0,193815,9,12,0,3,0,0,0,0,0,40,0,1
41,7,34987,1,10,0,17,0,0,0,0,0,54,0,1
26,0,59306,2,13,1,4,1,0,0,0,0,40,0,0
34,0,142897,6,14,0,2,0,4,0,7298,0,35,28,1
19,4,860348,1,10,1,11,3,2,2,0,0,25,0,0
36,2,205607,2,13,4,0,1,2,2,0,0,40,0,1
22,0,199698,1,10,1,4,3,0,0,0,0,15,0,0
